run_id,stage_index,asset_id,route_id,scenario_id,stage_id,stage_label,time_hours,base_time_hours,gate_delay_hours,risk_delay_hours,exception_delay_hours,queue_delay_hours,explicit_cost,implicit_cost,approvals,handoffs,intermediaries,transfer_attempted,transfer_success,redemption_attempted,redemption_success,gate_events,risk_events
723,8,PRIVATE_CREDIT,TRADFI,BASELINE,SERVICING_REPORTING,Servicing and reporting,4.457520849427295,4.457520849427295,0.0,0.0,0.0,0.0,0.2,0.0,0,1,administrator,False,,False,,,
723,9,PRIVATE_CREDIT,TRADFI,BASELINE,TRANSFERABILITY,Transferability / secondary transfer attempt,88.40889196068805,88.40889196068805,0.0,0.0,0.0,0.0,0.1,0.0,1,2,carrying_broker;receiving_broker,True,True,False,,GATE:transfer_restricted_checked,
723,10,PRIVATE_CREDIT,TRADFI,BASELINE,EXIT_INITIATION,Exit initiation (sell or redeem request),1800.25,0.25,1800.0,0.0,0.0,0.0,0.0,0.0,0,1,broker_platform,False,,False,,,
723,11,PRIVATE_CREDIT,TRADFI,BASELINE,REDEMPTION_PROCESSING,Redemption processing (ops / settlement-to-cash),38.01841927649352,38.01841927649352,0.0,0.0,0.0,0.0,0.5,0.5,0,1,custodian,False,,True,True,GATE:redemption_ok,
724,1,PRIVATE_CREDIT,TRADFI,BASELINE,ONBOARDING,Onboarding (account setup / initial intake),7.815706688831081,7.815706688831081,0.0,0.0,0.0,0.0,0.0,0.0,1,1,broker,False,,False,,,
724,2,PRIVATE_CREDIT,TRADFI,BASELINE,KYC_REVIEW,KYC / Compliance review,144.12370478117046,144.12370478117046,0.0,0.0,0.0,0.0,0.0,0.0,1,2,broker;compliance_provider,False,,False,,,
724,3,PRIVATE_CREDIT,TRADFI,BASELINE,ELIGIBILITY_GATE,Eligibility / allowlist checks,5.481532653543688,5.481532653543688,0.0,0.0,0.0,0.0,0.0,0.0,1,1,compliance_officer,False,,False,,,
724,4,PRIVATE_CREDIT,TRADFI,BASELINE,ORDER_PLACEMENT,Order placement,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0,1,broker_platform,False,,False,,,
724,5,PRIVATE_CREDIT,TRADFI,BASELINE,EXECUTION,Execution,0.05,0.05,0.0,0.0,0.0,0.0,0.0,2.0,0,1,venue,False,,False,,,
724,6,PRIVATE_CREDIT,TRADFI,BASELINE,CLEARING_SETTLEMENT,Clearing and settlement,38.49401291526907,38.49401291526907,0.0,0.0,0.0,0.0,0.5,0.5,0,2,clearing_house;custodian,False,,False,,,
724,7,PRIVATE_CREDIT,TRADFI,BASELINE,CUSTODY_RECORDING,Custody / recording,4.712306403088704,4.712306403088704,0.0,0.0,0.0,0.0,0.2,0.0,0,1,custodian,False,,False,,,
724,8,PRIVATE_CREDIT,TRADFI,BASELINE,SERVICING_REPORTING,Servicing and reporting,4.4808431299546605,4.4808431299546605,0.0,0.0,0.0,0.0,0.2,0.0,0,1,administrator,False,,False,,,
724,9,PRIVATE_CREDIT,TRADFI,BASELINE,TRANSFERABILITY,Transferability / secondary transfer attempt,90.92301944816988,90.92301944816988,0.0,0.0,0.0,0.0,0.1,0.0,1,2,carrying_broker;receiving_broker,True,True,False,,GATE:transfer_restricted_checked,
724,10,PRIVATE_CREDIT,TRADFI,BASELINE,EXIT_INITIATION,Exit initiation (sell or redeem request),1800.25,0.25,1800.0,0.0,0.0,0.0,0.0,0.0,0,1,broker_platform,False,,False,,,
724,11,PRIVATE_CREDIT,TRADFI,BASELINE,REDEMPTION_PROCESSING,Redemption processing (ops / settlement-to-cash),63.47347851966725,63.47347851966725,0.0,0.0,0.0,0.0,0.5,0.5,0,1,custodian,False,,True,True,GATE:redemption_ok,
725,1,PRIVATE_CREDIT,TRADFI,BASELINE,ONBOARDING,Onboarding (account setup / initial intake),14.192213611017662,14.192213611017662,0.0,0.0,0.0,0.0,0.0,0.0,1,1,broker,False,,False,,,
725,2,PRIVATE_CREDIT,TRADFI,BASELINE,KYC_REVIEW,KYC / Compliance review,114.27905429293538,114.27905429293538,0.0,0.0,0.0,0.0,0.0,0.0,1,2,broker;compliance_provider,False,,False,,,
725,3,PRIVATE_CREDIT,TRADFI,BASELINE,ELIGIBILITY_GATE,Eligibility / allowlist checks,3.966918979283778,3.966918979283778,0.0,0.0,0.0,0.0,0.0,0.0,1,1,compliance_officer,False,,False,,,
725,4,PRIVATE_CREDIT,TRADFI,BASELINE,ORDER_PLACEMENT,Order placement,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0,1,broker_platform,False,,False,,,
725,5,PRIVATE_CREDIT,TRADFI,BASELINE,EXECUTION,Execution,0.05,0.05,0.0,0.0,0.0,0.0,0.0,2.0,0,1,venue,False,,False,,,
725,6,PRIVATE_CREDIT,TRADFI,BASELINE,CLEARING_SETTLEMENT,Clearing and settlement,37.232705567766445,37.232705567766445,0.0,0.0,0.0,0.0,0.5,0.5,0,2,clearing_house;custodian,False,,False,,,
725,7,PRIVATE_CREDIT,TRADFI,BASELINE,CUSTODY_RECORDING,Custody / recording,6.055810518491757,6.055810518491757,0.0,0.0,0.0,0.0,0.2,0.0,0,1,custodian,False,,False,,,
725,8,PRIVATE_CREDIT,TRADFI,BASELINE,SERVICING_REPORTING,Servicing and reporting,6.696213502665332,6.696213502665332,0.0,0.0,0.0,0.0,0.2,0.0,0,1,administrator,False,,False,,,
725,9,PRIVATE_CREDIT,TRADFI,BASELINE,TRANSFERABILITY,Transferability / secondary transfer attempt,80.12672361391303,80.12672361391303,0.0,0.0,0.0,0.0,0.1,0.0,1,2,carrying_broker;receiving_broker,True,True,False,,GATE:transfer_restricted_checked,
725,10,PRIVATE_CREDIT,TRADFI,BASELINE,EXIT_INITIATION,Exit initiation (sell or redeem request),1800.25,0.25,1800.0,0.0,0.0,0.0,0.0,0.0,0,1,broker_platform,False,,False,,,
725,11,PRIVATE_CREDIT,TRADFI,BASELINE,REDEMPTION_PROCESSING,Redemption processing (ops / settlement-to-cash),54.80711729482577,54.80711729482577,0.0,0.0,0.0,0.0,0.5,0.5,0,1,custodian,False,,True,True,GATE:redemption_ok,
726,1,PRIVATE_CREDIT,TRADFI,BASELINE,ONBOARDING,Onboarding (account setup / initial intake),19.277182022295637,19.277182022295637,0.0,0.0,0.0,0.0,0.0,0.0,1,1,broker,False,,False,,,
726,2,PRIVATE_CREDIT,TRADFI,BASELINE,KYC_REVIEW,KYC / Compliance review,137.4078388406504,137.4078388406504,0.0,0.0,0.0,0.0,0.0,0.0,1,2,broker;compliance_provider,False,,False,,,
726,3,PRIVATE_CREDIT,TRADFI,BASELINE,ELIGIBILITY_GATE,Eligibility / allowlist checks,12.639580055240902,12.639580055240902,0.0,0.0,0.0,0.0,0.0,0.0,1,1,compliance_officer,False,,False,,,
726,4,PRIVATE_CREDIT,TRADFI,BASELINE,ORDER_PLACEMENT,Order placement,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0,1,broker_platform,False,,False,,,
726,5,PRIVATE_CREDIT,TRADFI,BASELINE,EXECUTION,Execution,0.05,0.05,0.0,0.0,0.0,0.0,0.0,2.0,0,1,venue,False,,False,,,
726,6,PRIVATE_CREDIT,TRADFI,BASELINE,CLEARING_SETTLEMENT,Clearing and settlement,22.95865263007759,22.95865263007759,0.0,0.0,0.0,0.0,0.5,0.5,0,2,clearing_house;custodian,False,,False,,,
726,7,PRIVATE_CREDIT,TRADFI,BASELINE,CUSTODY_RECORDING,Custody / recording,6.785579776523316,6.785579776523316,0.0,0.0,0.0,0.0,0.2,0.0,0,1,custodian,False,,False,,,
726,8,PRIVATE_CREDIT,TRADFI,BASELINE,SERVICING_REPORTING,Servicing and reporting,4.720000923393724,4.720000923393724,0.0,0.0,0.0,0.0,0.2,0.0,0,1,administrator,False,,False,,,
726,9,PRIVATE_CREDIT,TRADFI,BASELINE,TRANSFERABILITY,Transferability / secondary transfer attempt,60.66287011649813,60.66287011649813,0.0,0.0,0.0,0.0,0.1,0.0,1,2,carrying_broker;receiving_broker,True,False,False,,GATE:transfer_restricted_checked,
726,10,PRIVATE_CREDIT,TRADFI,BASELINE,EXIT_INITIATION,Exit initiation (sell or redeem request),1800.25,0.25,1800.0,0.0,0.0,0.0,0.0,0.0,0,1,broker_platform,False,,False,,,
726,11,PRIVATE_CREDIT,TRADFI,BASELINE,REDEMPTION_PROCESSING,Redemption processing (ops / settlement-to-cash),42.423000534759865,42.423000534759865,0.0,0.0,0.0,0.0,0.5,0.5,0,1,custodian,False,,True,True,GATE:redemption_ok,
727,1,PRIVATE_CREDIT,TRADFI,BASELINE,ONBOARDING,Onboarding (account setup / initial intake),19.654101314392427,19.654101314392427,0.0,0.0,0.0,0.0,0.0,0.0,1,1,broker,False,,False,,,
727,2,PRIVATE_CREDIT,TRADFI,BASELINE,KYC_REVIEW,KYC / Compliance review,130.33552849730717,130.33552849730717,0.0,0.0,0.0,0.0,0.0,0.0,1,2,broker;compliance_provider,False,,False,,,
727,3,PRIVATE_CREDIT,TRADFI,BASELINE,ELIGIBILITY_GATE,Eligibility / allowlist checks,7.684728497192761,7.684728497192761,0.0,0.0,0.0,0.0,0.0,0.0,1,1,compliance_officer,False,,False,,,
727,4,PRIVATE_CREDIT,TRADFI,BASELINE,ORDER_PLACEMENT,Order placement,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0,1,broker_platform,False,,False,,,
727,5,PRIVATE_CREDIT,TRADFI,BASELINE,EXECUTION,Execution,0.05,0.05,0.0,0.0,0.0,0.0,0.0,2.0,0,1,venue,False,,False,,,
