scenario_id,asset_id,route_id,N_runs,completion_rate,exit_frozen_rate,total_time_hours_p10,total_time_hours_p50,total_time_hours_p90,time_to_cash_hours_p10,time_to_cash_hours_p50,time_to_cash_hours_p90,total_explicit_cost_mean,total_implicit_cost_mean,total_cost_mean,total_time_days_p50,time_to_cash_days_p50,time_to_cash_days_p50_ci95_low,time_to_cash_days_p50_ci95_high,total_time_days_p50_ci95_low,total_time_days_p50_ci95_high,risk_event_rate_per_stage_row,gate_event_rate_per_stage_row,N_transfer_attempts,transfer_success_rate,N_redemption_attempts,redemption_allowed_rate,N_onboarding_runs,onboarding_success_rate,queue_delay_hours_mean_per_run,risk_delay_hours_mean_per_run,exception_delay_hours_mean_per_run,gate_delay_hours_mean_per_run,queue_delay_share_of_total_time_mean,risk_delay_share_of_total_time_mean,exception_delay_share_of_total_time_mean,gate_delay_share_of_total_time_mean
BASELINE,TBILL_MMF,TRADFI,1000,0.971,0.014,224.9777976115618,303.64544361391665,396.26580261148086,256.90169839202065,330.09712138180106,419.89485668013157,1.6689,3.069,4.7379,12.651893483913193,13.75404672424171,13.55801815459514,13.993862070167426,12.4434636873342,12.919173775690098,0.023882538797509525,0.18251091905956696,971,0.9495365602471678,971,1.0,1000,0.978,0.0,16.224676193021498,2.436887776474045,0.0,0.0,0.04150976498845598,0.006869604844474267,0.0
BASELINE,TBILL_MMF,TOKENIZED,1000,0.96,0.022,111.47713115370274,186.72393422868038,291.1420747807335,139.53543226103235,212.52510496147536,315.24060718055114,1.8258999999999996,1.6319,3.4577999999999998,7.780163926195016,8.85521270672814,8.643648931801838,9.101161819069693,7.5683145541107635,7.974170481130154,0.025953340204253723,0.18298510259533401,960,0.9333333333333333,960,0.9895833333333334,1000,0.967,0.0,17.12660250084801,4.11049637578922,0.6,0.0,0.05987481115848989,0.017087495208853394,0.0030515186949704
BASELINE,PRIVATE_CREDIT,TRADFI,1000,0.971,0.014,2036.8362924052349,2115.6454436139165,2208.265802611481,2212.9016983920205,2286.097121381801,2375.8948566801314,1.6689,3.069,4.7379,88.15189348391318,95.25404672424172,95.05801815459513,95.49386207016742,87.9434636873342,88.41917377569011,0.023882538797509525,0.18251091905956696,971,0.9495365602471678,971,1.0,1000,0.978,0.0,16.224676193021498,2.436887776474045,1747.8,0.0,0.007719329414298896,0.0015589916319470529,0.8232533034933522
BASELINE,PRIVATE_CREDIT,TOKENIZED,1000,0.96,0.022,1912.5213518643643,1993.9622127684056,2099.1420747807333,2091.5354322610324,2164.5251049614753,2267.2406071805513,1.8258999999999996,1.6319,3.4577999999999998,83.08175886535024,90.18854604006147,89.97698226513518,90.43449515240303,82.8759662513072,83.28153521577048,0.025953340204253723,0.18298510259533401,960,0.9333333333333333,960,0.9895833333333334,1000,0.967,0.0,17.12660250084801,4.11049637578922,1728.6,0.0,0.008720789168733211,0.0029390672111837615,0.8621186675472806
STRESS,TBILL_MMF,TRADFI,1000,0.959,0.024,465.7288412565224,675.4709213461402,842.1367552040055,518.4447585352833,708.3874439353561,868.0512601219509,1.8585,3.2800949999999998,5.138595,28.144621722755844,29.516143497306505,29.003224511263827,30.020604178047282,27.618431189171226,28.681384662319502,0.03801389149615168,0.18218509480007508,959,0.9530761209593326,959,1.0,1000,0.977,231.1461483255227,25.545897671850547,3.837582009758626,0.0,0.3371768117688028,0.03502189101106826,0.005881417289063246,0.0
STRESS,TBILL_MMF,TOKENIZED,1000,0.953,0.028,275.3804506334649,461.51004710955874,635.8534721737523,319.7822718582757,489.7041369523354,663.3981953473113,2.0145615,1.77765,3.7922115,19.229585296231615,20.40433903968064,20.07021732198877,21.007473376749786,18.86412147895722,19.62396144474886,0.03591290413799604,0.1826750871901216,953,0.9213011542497377,953,0.9916054564533053,1000,0.968,222.33382010672096,23.394525690381414,5.553935794005382,1.8,0.464629463616904,0.04462581736105513,0.011695758840408747,0.0038461921355412453
STRESS,PRIVATE_CREDIT,TRADFI,1000,0.959,0.024,2279.063095914975,2492.2709213461403,2658.9367552040053,2479.2447585352834,2669.187443935356,2828.851260121951,1.8585,3.2800949999999998,5.138595,103.84462172275585,111.2161434973065,110.70322451126383,111.72060417804728,103.31843118917122,104.38138466231949,0.03801389149615168,0.18218509480007508,959,0.9530761209593326,959,1.0,1000,0.977,231.1461483255227,25.545897671850547,3.837582009758626,1726.2,0.10303385686880537,0.01051920236303246,0.002120562278679006,0.6940249753934797
STRESS,PRIVATE_CREDIT,TOKENIZED,1000,0.953,0.028,2065.2543578255013,2271.0285316317068,2445.4534721737523,2273.3822718582755,2443.3041369523353,2616.9981953473116,2.0145615,1.77765,3.7922115,94.62618881798778,101.80433903968064,101.47021732198876,102.40747337674979,94.25380782848498,94.9892329795666,0.03591290413799604,0.1826750871901216,953,0.9213011542497377,953,0.9916054564533053,1000,0.968,222.33382010672096,23.394525690381414,5.553935794005382,1717.2,0.11230773767287101,0.01045138321977635,0.0032489666303995054,0.7554018008028256
