scenario_id,asset_id,tradfi_time_to_cash_days_p50,tokenized_time_to_cash_days_p50,delta_time_to_cash_days_p50,pct_change_time_to_cash_days_p50,tradfi_total_time_days_p50,tokenized_total_time_days_p50,delta_total_time_days_p50,pct_change_total_time_days_p50,tradfi_total_cost_mean,tokenized_total_cost_mean,delta_total_cost_mean,pct_change_total_cost_mean,tradfi_completion_rate,tokenized_completion_rate,delta_completion_rate,pct_change_completion_rate,tradfi_exit_frozen_rate,tokenized_exit_frozen_rate,delta_exit_frozen_rate,pct_change_exit_frozen_rate,tradfi_onboarding_success_rate,tokenized_onboarding_success_rate,delta_onboarding_success_rate,pct_change_onboarding_success_rate,tradfi_transfer_success_rate,tokenized_transfer_success_rate,delta_transfer_success_rate,pct_change_transfer_success_rate,tradfi_redemption_allowed_rate,tokenized_redemption_allowed_rate,delta_redemption_allowed_rate,pct_change_redemption_allowed_rate,tradfi_risk_event_rate_per_stage_row,tokenized_risk_event_rate_per_stage_row,delta_risk_event_rate_per_stage_row,pct_change_risk_event_rate_per_stage_row,tradfi_gate_event_rate_per_stage_row,tokenized_gate_event_rate_per_stage_row,delta_gate_event_rate_per_stage_row,pct_change_gate_event_rate_per_stage_row,tradfi_queue_delay_hours_mean_per_run,tokenized_queue_delay_hours_mean_per_run,delta_queue_delay_hours_mean_per_run,pct_change_queue_delay_hours_mean_per_run,tradfi_risk_delay_hours_mean_per_run,tokenized_risk_delay_hours_mean_per_run,delta_risk_delay_hours_mean_per_run,pct_change_risk_delay_hours_mean_per_run,tradfi_exception_delay_hours_mean_per_run,tokenized_exception_delay_hours_mean_per_run,delta_exception_delay_hours_mean_per_run,pct_change_exception_delay_hours_mean_per_run,tradfi_gate_delay_hours_mean_per_run,tokenized_gate_delay_hours_mean_per_run,delta_gate_delay_hours_mean_per_run,pct_change_gate_delay_hours_mean_per_run,delta_completion_rate_pp,delta_exit_frozen_rate_pp,delta_onboarding_success_rate_pp,delta_transfer_success_rate_pp,delta_redemption_allowed_rate_pp,delta_risk_event_rate_per_stage_row_pp,delta_gate_event_rate_per_stage_row_pp
BASELINE,TBILL_MMF,13.75404672424171,8.85521270672814,-4.89883401751357,-35.61740130545945,12.651893483913193,7.780163926195016,-4.871729557718178,-38.5059324433339,4.7379,3.4577999999999998,-1.2801,-27.018299246501616,0.971,0.96,-0.01100000000000001,-1.1328527291452122,0.014,0.022,0.007999999999999998,57.14285714285713,0.978,0.967,-0.01100000000000001,-1.1247443762781197,0.9495365602471678,0.9333333333333333,-0.016203226913834468,-1.7064352856109837,1.0,0.9895833333333334,-0.01041666666666663,-1.041666666666663,0.023882538797509525,0.025953340204253723,0.002070801406744198,8.670775851351872,0.18251091905956696,0.18298510259533401,0.00047418353576705874,0.25981105032532176,0.0,0.0,0.0,,16.224676193021498,17.12660250084801,0.9019263078265105,5.558978786981548,2.436887776474045,4.11049637578922,1.6736085993151746,68.678115400814,0.0,0.6,0.6,,-1.100000000000001,0.7999999999999998,-1.100000000000001,-1.6203226913834468,-1.041666666666663,0.2070801406744198,0.047418353576705874
BASELINE,PRIVATE_CREDIT,95.25404672424172,90.18854604006147,-5.06550068418025,-5.317885022611962,88.15189348391318,83.08175886535024,-5.070134618562946,-5.751589010947557,4.7379,3.4577999999999998,-1.2801,-27.018299246501616,0.971,0.96,-0.01100000000000001,-1.1328527291452122,0.014,0.022,0.007999999999999998,57.14285714285713,0.978,0.967,-0.01100000000000001,-1.1247443762781197,0.9495365602471678,0.9333333333333333,-0.016203226913834468,-1.7064352856109837,1.0,0.9895833333333334,-0.01041666666666663,-1.041666666666663,0.023882538797509525,0.025953340204253723,0.002070801406744198,8.670775851351872,0.18251091905956696,0.18298510259533401,0.00047418353576705874,0.25981105032532176,0.0,0.0,0.0,,16.224676193021498,17.12660250084801,0.9019263078265105,5.558978786981548,2.436887776474045,4.11049637578922,1.6736085993151746,68.678115400814,1747.8,1728.6,-19.200000000000045,-1.0985238585650559,-1.100000000000001,0.7999999999999998,-1.100000000000001,-1.6203226913834468,-1.041666666666663,0.2070801406744198,0.047418353576705874
STRESS,TBILL_MMF,29.516143497306505,20.40433903968064,-9.111804457625865,-30.870579208484205,28.144621722755844,19.229585296231615,-8.915036426524228,-31.675808310175764,5.138595,3.7922115,-1.3463834999999995,-26.201393571589115,0.959,0.953,-0.006000000000000005,-0.6256517205422321,0.024,0.028,0.004,16.666666666666664,0.977,0.968,-0.009000000000000008,-0.9211873080859783,0.9530761209593326,0.9213011542497377,-0.0317749667095949,-3.3339379731402086,1.0,0.9916054564533053,-0.008394543546694666,-0.8394543546694666,0.03801389149615168,0.03591290413799604,-0.0021009873581556426,-5.526893657725979,0.18218509480007508,0.1826750871901216,0.0004899923900465175,0.2689530614917876,231.1461483255227,222.33382010672096,-8.812328218801724,-3.812448653218023,25.545897671850547,23.394525690381414,-2.1513719814691328,-8.421594766817552,3.837582009758626,5.553935794005382,1.7163537842467562,44.72487571294172,0.0,1.8,1.8,,-0.6000000000000005,0.4,-0.9000000000000008,-3.17749667095949,-0.8394543546694666,-0.21009873581556426,0.04899923900465175
STRESS,PRIVATE_CREDIT,111.2161434973065,101.80433903968064,-9.411804457625863,-8.462624365188317,103.84462172275585,94.62618881798778,-9.218432904768065,-8.87714043523546,5.138595,3.7922115,-1.3463834999999995,-26.201393571589115,0.959,0.953,-0.006000000000000005,-0.6256517205422321,0.024,0.028,0.004,16.666666666666664,0.977,0.968,-0.009000000000000008,-0.9211873080859783,0.9530761209593326,0.9213011542497377,-0.0317749667095949,-3.3339379731402086,1.0,0.9916054564533053,-0.008394543546694666,-0.8394543546694666,0.03801389149615168,0.03591290413799604,-0.0021009873581556426,-5.526893657725979,0.18218509480007508,0.1826750871901216,0.0004899923900465175,0.2689530614917876,231.1461483255227,222.33382010672096,-8.812328218801724,-3.812448653218023,25.545897671850547,23.394525690381414,-2.1513719814691328,-8.421594766817552,3.837582009758626,5.553935794005382,1.7163537842467562,44.72487571294172,1726.2,1717.2,-9.0,-0.5213764337851928,-0.6000000000000005,0.4,-0.9000000000000008,-3.17749667095949,-0.8394543546694666,-0.21009873581556426,0.04899923900465175
