tag,asset_id,route_id,completion_rate,exit_frozen_rate,time_to_cash_days_p50,total_time_days_p50
ALLOWLIST_p=0.6,PRIVATE_CREDIT,TOKENIZED,0.55,0.005,90.6576,80.1964
ALLOWLIST_p=0.6,TBILL_MMF,TOKENIZED,0.55,0.005,9.3242,6.3945
ALLOWLIST_p=0.75,PRIVATE_CREDIT,TOKENIZED,0.71,0.005,90.8972,82.4452
ALLOWLIST_p=0.75,TBILL_MMF,TOKENIZED,0.71,0.005,9.5638,7.3168
ALLOWLIST_p=0.9,PRIVATE_CREDIT,TOKENIZED,0.91,0.01,90.7731,83.2862
ALLOWLIST_p=0.9,TBILL_MMF,TOKENIZED,0.91,0.01,9.4398,7.9799
ALLOWLIST_p=0.98,PRIVATE_CREDIT,TOKENIZED,0.985,0.02,90.7574,83.7075
ALLOWLIST_p=0.98,TBILL_MMF,TOKENIZED,0.985,0.02,9.4241,8.3742
