scenario_id,asset_id,route_id,stage_id,stage_time_hours_mean,stage_time_hours_p50,stage_order_hint,cell_total_stage_time_mean,stage_time_share_pct
BASELINE,TBILL_MMF,TRADFI,ONBOARDING,11.445373144122428,10.913271532542137,1.0,313.1475801709704,3.654945421540078
BASELINE,TBILL_MMF,TRADFI,KYC_REVIEW,117.14203002190906,112.04360886901742,2.0,313.1475801709704,37.40793077754348
BASELINE,TBILL_MMF,TRADFI,ELIGIBILITY_GATE,9.233977957899622,8.455634966449058,3.0,313.1475801709704,2.9487623544330477
BASELINE,TBILL_MMF,TRADFI,ORDER_PLACEMENT,0.25,0.25,4.0,313.1475801709704,0.07983456230557698
BASELINE,TBILL_MMF,TRADFI,EXECUTION,0.05,0.05,5.0,313.1475801709704,0.0159669124611154
BASELINE,TBILL_MMF,TRADFI,CLEARING_SETTLEMENT,31.17091640561848,28.64892193744429,6.0,313.1475801709704,9.954065871625122
BASELINE,TBILL_MMF,TRADFI,CUSTODY_RECORDING,6.692327830956461,5.353963071397649,7.0,313.1475801709704,2.1371162527593617
BASELINE,TBILL_MMF,TRADFI,SERVICING_REPORTING,1.7407878399052985,1.6328527456337412,8.0,313.1475801709704,0.5559001410628414
BASELINE,TBILL_MMF,TRADFI,TRANSFERABILITY,84.10432156489539,79.86990042550784,9.0,313.1475801709704,26.857726800563693
BASELINE,TBILL_MMF,TRADFI,EXIT_INITIATION,0.25,0.25,10.0,313.1475801709704,0.07983456230557698
BASELINE,TBILL_MMF,TRADFI,REDEMPTION_PROCESSING,51.06784540566366,44.468308236252,11.0,313.1475801709704,16.307916343400116
BASELINE,TBILL_MMF,TOKENIZED,ONBOARDING,0.438262057031725,0.4112211593595466,1.0,199.6125299147931,0.2195563861741556
BASELINE,TBILL_MMF,TOKENIZED,KYC_REVIEW,113.57564654037375,108.59493573263988,2.0,199.6125299147931,56.89805474077946
BASELINE,TBILL_MMF,TOKENIZED,ELIGIBILITY_GATE,9.12517253048371,8.352406665511019,3.0,199.6125299147931,4.571442751804656
BASELINE,TBILL_MMF,TOKENIZED,ORDER_PLACEMENT,0.2,0.2,4.0,199.6125299147931,0.10019411110383317
BASELINE,TBILL_MMF,TOKENIZED,EXECUTION,0.05,0.05,5.0,199.6125299147931,0.02504852777595829
BASELINE,TBILL_MMF,TOKENIZED,CLEARING_SETTLEMENT,0.07391971840016379,0.06304323872357714,6.0,199.6125299147931,0.03703160239075035
BASELINE,TBILL_MMF,TOKENIZED,CUSTODY_RECORDING,3.479139404087866,3.24565269254007,7.0,199.6125299147931,1.7429463999945174
BASELINE,TBILL_MMF,TOKENIZED,SERVICING_REPORTING,4.335380341731651,1.4154140952974392,8.0,199.6125299147931,2.171897898184176
BASELINE,TBILL_MMF,TOKENIZED,TRANSFERABILITY,6.938057057282797,3.9504357952181977,9.0,199.6125299147931,3.4757622982106313
BASELINE,TBILL_MMF,TOKENIZED,EXIT_INITIATION,1.1805083679790749,0.2,10.0,199.6125299147931,0.591399932901501
BASELINE,TBILL_MMF,TOKENIZED,REDEMPTION_PROCESSING,60.21644389742236,49.87416297975535,11.0,199.6125299147931,30.16666535068036
BASELINE,PRIVATE_CREDIT,TRADFI,ONBOARDING,11.445373144122428,10.913271532542137,1.0,2125.1475801709703,0.5385683917161949
BASELINE,PRIVATE_CREDIT,TRADFI,KYC_REVIEW,117.14203002190906,112.04360886901742,2.0,2125.1475801709703,5.512183300346834
BASELINE,PRIVATE_CREDIT,TRADFI,ELIGIBILITY_GATE,9.233977957899622,8.455634966449058,3.0,2125.1475801709703,0.4345099626990018
BASELINE,PRIVATE_CREDIT,TRADFI,ORDER_PLACEMENT,0.25,0.25,4.0,2125.1475801709703,0.011763888886243244
BASELINE,PRIVATE_CREDIT,TRADFI,EXECUTION,0.05,0.05,5.0,2125.1475801709703,0.0023527777772486486
BASELINE,PRIVATE_CREDIT,TRADFI,CLEARING_SETTLEMENT,31.17091640561848,28.64892193744429,6.0,2125.1475801709703,1.4667647883122898
BASELINE,PRIVATE_CREDIT,TRADFI,CUSTODY_RECORDING,8.69232783095646,7.353963071397649,7.0,2125.1475801709703,0.40902231506468617
BASELINE,PRIVATE_CREDIT,TRADFI,SERVICING_REPORTING,5.740787839905298,5.632852745633741,8.0,2125.1475801709703,0.27013596107256915
BASELINE,PRIVATE_CREDIT,TRADFI,TRANSFERABILITY,90.10432156489539,85.86990042550784,9.0,2125.1475801709703,4.239908908239041
BASELINE,PRIVATE_CREDIT,TRADFI,EXIT_INITIATION,1800.25,1800.25,10.0,2125.1475801709703,84.7117638698376
BASELINE,PRIVATE_CREDIT,TRADFI,REDEMPTION_PROCESSING,51.06784540566366,44.468308236252,11.0,2125.1475801709703,2.4030258360482994
BASELINE,PRIVATE_CREDIT,TOKENIZED,ONBOARDING,0.438262057031725,0.4112211593595466,1.0,2007.6125299147932,0.02183001204173226
BASELINE,PRIVATE_CREDIT,TOKENIZED,KYC_REVIEW,113.57564654037375,108.59493573263988,2.0,2007.6125299147932,5.657249337111585
BASELINE,PRIVATE_CREDIT,TOKENIZED,ELIGIBILITY_GATE,9.12517253048371,8.352406665511019,3.0,2007.6125299147932,0.4545285703547087
BASELINE,PRIVATE_CREDIT,TOKENIZED,ORDER_PLACEMENT,0.2,0.2,4.0,2007.6125299147932,0.009962081677607799
BASELINE,PRIVATE_CREDIT,TOKENIZED,EXECUTION,0.05,0.05,5.0,2007.6125299147932,0.0024905204194019498
BASELINE,PRIVATE_CREDIT,TOKENIZED,CLEARING_SETTLEMENT,0.07391971840016379,0.06304323872357714,6.0,2007.6125299147932,0.0036819713614409983
BASELINE,PRIVATE_CREDIT,TOKENIZED,CUSTODY_RECORDING,4.479139404087865,4.2456526925400695,7.0,2007.6125299147932,0.22310776294457418
