scenario_id,asset_id,route_id,N,completion_rate,exit_frozen_rate,total_time_hours_mean,total_time_hours_p10,total_time_hours_p50,total_time_hours_p90,time_to_position_hours_mean,time_to_position_hours_p10,time_to_position_hours_p50,time_to_position_hours_p90,time_to_cash_hours_mean,time_to_cash_hours_p10,time_to_cash_hours_p50,time_to_cash_hours_p90,total_explicit_cost_mean,total_explicit_cost_p10,total_explicit_cost_p50,total_explicit_cost_p90,total_implicit_cost_mean,total_implicit_cost_p10,total_implicit_cost_p50,total_implicit_cost_p90,total_approvals_mean,total_approvals_p10,total_approvals_p50,total_approvals_p90,total_handoffs_mean,total_handoffs_p10,total_handoffs_p50,total_handoffs_p90,intermediaries_count_mean,intermediaries_count_p10,intermediaries_count_p50,intermediaries_count_p90,p_time_to_cash_gt_168h,p_time_to_cash_gt_720h
BASELINE,PRIVATE_CREDIT,TOKENIZED,1000,0.96,0.022,1932.1697157556034,1912.5213518643643,1993.9622127684056,2099.1420747807333,127.91209634111307,65.99613699828396,122.75220900356814,196.85376295494737,2174.771895299734,2091.5354322610324,2164.5251049614753,2267.2406071805513,1.8258999999999996,1.61,1.61,2.61,1.6319,1.5,1.5,2.2,3.92,4.0,4.0,4.0,10.64,11.0,11.0,11.0,9.68,10.0,10.0,10.0,1.0,1.0
BASELINE,PRIVATE_CREDIT,TRADFI,1000,0.971,0.014,2067.450482552901,2036.8362924052349,2115.6454436139165,2208.265802611481,177.93241181579756,114.69830394708032,172.85724264310556,245.89573650990323,2292.47938997367,2212.9016983920205,2286.097121381801,2375.8948566801314,1.6689,1.5,1.5,2.3000000000000003,3.069,3.0,3.0,3.6,3.942,4.0,4.0,4.0,13.681,14.0,14.0,14.0,9.768,10.0,10.0,10.0,1.0,1.0
BASELINE,TBILL_MMF,TOKENIZED,1000,0.96,0.022,196.48971575560356,111.47713115370274,186.72393422868038,291.1420747807335,126.91209634111307,64.99613699828396,121.75220900356814,195.85376295494737,222.77189529973373,139.53543226103235,212.52510496147536,315.24060718055114,1.8258999999999996,1.61,1.61,2.61,1.6319,1.5,1.5,2.2,3.92,4.0,4.0,4.0,10.64,11.0,11.0,11.0,9.68,10.0,10.0,10.0,0.7622601279317697,0.0
BASELINE,TBILL_MMF,TRADFI,1000,0.971,0.014,307.99848255290095,224.9777976115618,303.64544361391665,396.26580261148086,175.93241181579756,112.69830394708032,170.85724264310556,243.89573650990323,336.47938997367015,256.90169839202065,330.09712138180106,419.89485668013157,1.6689,1.5,1.5,2.3000000000000003,3.069,3.0,3.0,3.6,3.942,4.0,4.0,4.0,13.681,14.0,14.0,14.0,9.768,10.0,10.0,10.0,1.0,0.0
STRESS,PRIVATE_CREDIT,TOKENIZED,1000,0.953,0.028,2185.943739519501,2065.2543578255013,2271.0285316317068,2445.4534721737523,273.6146766939497,144.89256514111702,273.35391084737404,399.50958929244337,2448.47338403048,2273.3822718582755,2443.3041369523353,2616.9981953473116,2.0145615,1.6905000000000001,1.6905000000000001,3.2655000000000003,1.77765,1.5750000000000002,1.5750000000000002,2.835,3.906,4.0,4.0,4.0,10.577,11.0,11.0,11.0,9.624,10.0,10.0,10.0,1.0,1.0
STRESS,PRIVATE_CREDIT,TRADFI,1000,0.959,0.024,2404.523096842159,2279.063095914975,2492.2709213461403,2658.9367552040053,365.16505987729096,237.45345583064048,364.1770638752239,496.1300808205237,2662.2361046058886,2479.2447585352834,2669.187443935356,2828.851260121951,1.8585,1.5750000000000002,1.5750000000000002,2.94,3.2800949999999998,3.1500000000000004,3.1500000000000004,4.2,3.918,4.0,4.0,4.0,13.549,14.0,14.0,14.0,9.672,10.0,10.0,10.0,1.0,1.0
STRESS,TBILL_MMF,TOKENIZED,1000,0.953,0.028,461.3949395195009,275.3804506334649,461.51004710955874,635.8534721737523,272.41467669394973,143.692565141117,272.15391084737405,398.3095892924434,494.87338403047994,319.7822718582757,489.7041369523354,663.3981953473113,2.0145615,1.6905000000000001,1.6905000000000001,3.2655000000000003,1.77765,1.5750000000000002,1.5750000000000002,2.835,3.906,4.0,4.0,4.0,10.577,11.0,11.0,11.0,9.624,10.0,10.0,10.0,0.9989189189189189,0.05837837837837838
STRESS,TBILL_MMF,TRADFI,1000,0.959,0.024,662.211896842159,465.7288412565224,675.4709213461402,842.1367552040055,362.36505987729095,234.65345583064047,361.3770638752239,493.3300808205237,701.436104605889,518.4447585352833,708.3874439353561,868.0512601219509,1.8585,1.5750000000000002,1.5750000000000002,2.94,3.2800949999999998,3.1500000000000004,3.1500000000000004,4.2,3.918,4.0,4.0,4.0,13.549,14.0,14.0,14.0,9.672,10.0,10.0,10.0,1.0,0.46844919786096256
