scenario_id,asset_id,route_id,queue_delay_hours_mean_per_run,risk_delay_hours_mean_per_run,exception_delay_hours_mean_per_run,gate_delay_hours_mean_per_run,queue_delay_share_of_total_time_mean,risk_delay_share_of_total_time_mean,exception_delay_share_of_total_time_mean,gate_delay_share_of_total_time_mean
BASELINE,PRIVATE_CREDIT,TOKENIZED,0.0,17.12660250084801,4.11049637578922,1728.6,0.0,0.008720789168733211,0.0029390672111837615,0.8621186675472806
BASELINE,PRIVATE_CREDIT,TRADFI,0.0,16.224676193021498,2.436887776474045,1747.8,0.0,0.007719329414298896,0.0015589916319470529,0.8232533034933522
BASELINE,TBILL_MMF,TOKENIZED,0.0,17.12660250084801,4.11049637578922,0.6,0.0,0.05987481115848989,0.017087495208853394,0.0030515186949704
BASELINE,TBILL_MMF,TRADFI,0.0,16.224676193021498,2.436887776474045,0.0,0.0,0.04150976498845598,0.006869604844474267,0.0
STRESS,PRIVATE_CREDIT,TOKENIZED,222.33382010672096,23.394525690381414,5.553935794005382,1717.2,0.11230773767287101,0.01045138321977635,0.0032489666303995054,0.7554018008028256
STRESS,PRIVATE_CREDIT,TRADFI,231.1461483255227,25.545897671850547,3.837582009758626,1726.2,0.10303385686880537,0.01051920236303246,0.002120562278679006,0.6940249753934797
STRESS,TBILL_MMF,TOKENIZED,222.33382010672096,23.394525690381414,5.553935794005382,1.8,0.464629463616904,0.04462581736105513,0.011695758840408747,0.0038461921355412453
STRESS,TBILL_MMF,TRADFI,231.1461483255227,25.545897671850547,3.837582009758626,0.0,0.3371768117688028,0.03502189101106826,0.005881417289063246,0.0
